hepatwin_id,lookup_ms,ai_inference_ms,shap_ms,pbpk_ms,parallel_wall_ms,exposure_eval_ms,fusion_ms,total_ms,visual_color
HT0969,127.17,14.9,7.54,0.59,15.17,0.02,0.01,142.92,red
HT0969,0.02,14.14,7.04,0.57,14.42,0.02,0.01,14.97,red
HT0969,0.02,13.81,7.02,0.52,14.05,0.02,0.01,14.61,red
HT0994,124.98,23.02,12.01,0.58,23.36,0.02,0.01,148.96,red
HT0994,0.03,24.52,11.98,0.45,24.82,0.02,0.01,25.43,red
HT0994,0.02,21.06,10.56,0.51,21.32,0.02,0.01,21.89,red
HT1022,133.95,11.74,5.56,0.53,12.04,0.02,0.01,146.58,red
HT1022,0.02,13.24,5.94,0.56,13.5,0.02,0.01,14.08,red
HT1022,0.02,10.8,5.72,0.49,11.04,0.02,0.01,11.61,red
HT1046,127.68,14.35,6.99,0.58,14.63,0.02,0.01,142.91,red
HT1046,0.03,13.72,7.03,0.56,13.95,0.02,0.01,14.5,red
HT1046,0.01,13.37,6.9,0.52,13.62,0.01,0.01,14.13,red
HT1072,125.58,19.95,10.84,0.62,20.26,0.02,0.01,146.48,red
HT1072,0.03,19.16,10.13,0.55,19.4,0.02,0.01,19.96,red
HT1072,0.02,17.79,9.63,0.5,18.0,0.01,0.01,18.54,red
HT1098,127.43,8.65,4.43,0.57,8.92,0.02,0.01,136.93,red
HT1098,0.03,8.15,4.27,0.99,8.38,0.02,0.01,8.95,red
HT1098,0.01,7.32,3.89,0.49,7.52,0.01,0.01,8.01,red
HT1128,121.48,12.84,6.46,0.56,13.1,0.02,0.01,135.2,red
HT1128,0.02,12.36,6.52,0.54,12.57,0.01,0.01,13.08,red
HT1128,0.02,11.99,6.25,0.56,12.21,0.02,0.01,12.74,red
HT1154,141.4,11.66,5.66,0.56,11.93,0.02,0.01,153.92,red
HT1154,0.03,12.85,6.14,0.54,13.18,0.02,0.01,13.8,red
HT1154,0.02,10.48,5.6,0.55,10.68,0.01,0.01,11.21,red
HT1177,142.28,15.79,7.94,0.59,16.12,0.02,0.01,159.07,red
HT1177,0.02,16.98,7.85,0.52,17.26,0.02,0.01,17.8,red
HT1177,0.02,14.38,7.69,0.58,14.62,0.02,0.01,15.19,red
HT1203,131.62,12.38,6.49,0.56,12.67,0.02,0.01,144.89,red
HT1203,0.03,11.83,5.96,0.54,12.07,0.02,0.01,12.68,red
HT1203,0.02,11.42,6.01,0.54,11.64,0.02,0.01,12.19,red
HT1230,143.32,15.87,8.07,0.59,16.28,0.02,0.01,160.26,red
HT1230,0.02,18.88,8.51,0.59,19.17,0.02,0.01,19.76,red
HT1230,0.02,15.36,7.65,0.57,15.62,0.02,0.01,16.24,red
HT1255,122.56,13.93,7.27,0.57,14.21,0.02,0.01,137.36,red
HT1255,0.03,14.35,7.13,0.57,14.63,0.02,0.01,15.27,red
HT1255,0.02,13.19,6.88,0.53,13.44,0.02,0.01,14.0,red
HT1278,127.3,15.86,5.27,0.59,16.15,0.02,0.01,144.06,red
HT1278,0.03,15.1,8.41,0.54,15.4,0.02,0.01,16.07,red
HT1278,0.03,15.5,8.58,0.54,15.75,0.02,0.01,16.38,red
